Hour,Weekday,Month,NumVehicles,RoadClass,RoadSurface,LightConditions,WeatherConditions,VehicleType,CasualtySeverity
13,6,7,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,6,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,4,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
13,6,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,4,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Slight
12,6,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Slight
17,7,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,M/cycle 50cc and under,Slight
19,1,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,7,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
21,6,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,5,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,6,7,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,6,7,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,1,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,3,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
15,1,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
21,4,7,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,3,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
10,1,7,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
17,3,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,3,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,3,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,7,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,5,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
19,3,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,1,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,6,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Slight
12,1,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,5,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
16,5,7,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,5,7,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,1,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,1,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,7,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,5,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
13,7,8,3,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
14,1,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,7,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
7,1,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,5,7,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,3,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Slight
9,3,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,5,7,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
11,6,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,4,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,5,7,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
10,5,7,1,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
15,7,8,1,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
20,7,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,1,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Slight
14,1,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,3,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,2,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,7,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
5,4,7,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,8,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Slight
8,3,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
14,4,8,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,7,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
7,1,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,1,8,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
20,3,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
8,7,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,4,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
15,5,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
14,4,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,4,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,6,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,7,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,1,5,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,1,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,1,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,2,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
10,4,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,2,8,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
12,2,8,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,2,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,7,8,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,3,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,4,8,1,A,Dry,Daylight: street lights present,Fine without high winds,Other Vehicle ,Slight
16,4,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,1,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,6,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
17,6,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,7,8,1,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,4,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,2,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,1,8,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,3,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
8,2,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
19,1,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,1,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,5,8,3,A(M),Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,6,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,3,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,7,8,1,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,4,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,4,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
6,7,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,4,8,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Other Vehicle ,Slight
14,4,8,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Slight
14,4,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
17,6,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
11,6,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
8,5,8,2,A,Dry,Daylight: street lights present,Fine without high winds,M/cycle 50cc and under,Slight
18,6,8,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,5,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,4,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
16,2,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,3,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,2,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,4,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,4,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
10,6,8,1,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
19,6,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,4,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,4,8,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,7,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,9,4,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,9,7,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,9,7,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,9,7,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,3,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,1,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,1,8,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,6,8,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,6,8,3,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
9,2,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,2,7,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,2,8,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,6,9,1,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,6,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
10,1,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,6,9,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
18,2,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,6,9,3,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Slight
18,1,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
9,1,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,5,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,1,8,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
6,3,9,4,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,3,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,7,9,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,4,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
15,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,3,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,2,9,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Slight
19,3,9,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
8,3,9,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,3,9,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,3,9,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,3,9,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,1,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,4,9,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,2,9,1,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,5,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,7,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
17,2,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,7,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,3,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,3,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,2,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
8,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
7,3,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
12,5,8,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,3,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,4,9,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,5,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,1,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
9,5,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Slight
9,5,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Slight
19,5,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,4,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,5,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
11,1,9,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,3,9,1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,7,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
6,1,9,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,5,9,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,5,9,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
19,3,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,4,9,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
13,3,9,4,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
17,7,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,5,9,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,5,9,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,3,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,4,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,4,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,4,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,4,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
15,4,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
17,5,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,6,9,1,A(M),Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,5,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
11,5,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,4,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,1,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,7,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,2,9,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
9,4,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
7,2,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
6,3,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,4,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,2,9,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Slight
16,5,10,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
13,3,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,3,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,5,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,1,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,1,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,1,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,4,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,1,10,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,1,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
17,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,3,9,4,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,5,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
11,1,10,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,3,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,4,10,4,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
14,4,10,4,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,5,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
10,4,10,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,4,10,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,3,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,6,10,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
8,1,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,M/cycle 50cc and under,Slight
8,6,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
13,6,10,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
9,3,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,2,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
16,2,10,2,A,Dry,Daylight: street lights present,Fine without high winds,M/cycle 50cc and under,Slight
14,3,10,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
17,2,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
8,2,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,3,10,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,3,10,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,2,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,3,9,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
18,2,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
18,2,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Slight
11,1,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,6,10,4,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,7,10,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,5,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
8,3,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
12,5,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,6,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,4,10,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,4,10,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,7,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,5,10,4,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
14,1,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,2,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,5,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
8,2,10,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
8,2,10,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,2,10,3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,1,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
15,4,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
10,4,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,4,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,1,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,4,10,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
7,4,10,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,4,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
16,6,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
9,5,10,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,6,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
12,3,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,4,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
9,5,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,4,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
13,4,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Slight
9,4,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,6,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Slight
17,1,10,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
16,6,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,5,10,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,6,10,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,1,11,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
17,4,10,2,B,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
10,2,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
10,3,11,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
8,5,11,2,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Slight
16,6,11,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,7,11,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,7,11,2,B,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,4,11,2,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
14,1,11,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
14,7,11,1,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,3,11,5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,3,11,5,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
12,3,10,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Slight
12,6,11,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,6,11,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
11,6,11,2,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Slight
13,4,11,2,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
8,5,11,3,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
15,7,11,2,A,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Slight
10,5,11,2,A,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
14,7,11,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Slight
