Hour,Weekday,Month,NumVehicles,RoadClass,RoadSurface,LightConditions,WeatherConditions,VehicleType,CasualtySeverity
14,1,12,2,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
9,3,12,2,A,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
9,3,12,2,A,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
15,4,11,2,A,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
9,3,1,4,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
9,3,1,4,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
9,3,1,4,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
11,3,2,3,A(M),Dry,Daylight: street lights present,Fine with high winds,Car,Slight
11,3,2,3,A(M),Dry,Daylight: street lights present,Fine with high winds,Car,Slight
14,2,4,2,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
12,4,10,3,A,Dry,Daylight: street lights present,Fine with high winds,Pedal cycle,Slight
17,2,9,2,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
14,5,11,3,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
14,5,11,3,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
14,7,8,1,B,Dry,Daylight: street lights present,Fine with high winds,Pedal cycle,Slight
16,1,7,2,A,Dry,Daylight: street lights present,Fine with high winds,Motorcycle over 500cc,Slight
15,4,11,2,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
14,5,11,2,A,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
7,2,9,4,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
7,2,9,4,Motorway,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
14,6,10,1,A(M),Dry,Daylight: street lights present,Fine with high winds,Car,Slight
8,4,3,2,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Motorcycle over 50cc and up to 125cc,Slight
13,7,4,1,A,Dry,Daylight: street lights present,Fine with high winds,Car,Slight
15,2,10,2,A,Dry,Daylight: street lights present,Fine with high winds,Motorcycle over 500cc,Slight
18,2,5,2,A,Frost / Ice,Daylight: street lights present,Fine with high winds,Pedal cycle,Slight
10,3,2,2,A(M),Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Serious
10,7,8,1,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Motorcycle over 500cc,Serious
12,4,10,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,M/cycle 50cc and under,Serious
8,6,10,1,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
12,2,11,3,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
12,2,11,3,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
15,6,1,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
16,4,2,2,B,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
16,4,2,2,B,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
11,3,3,1,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
8,4,3,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedal cycle,Slight
18,4,3,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
14,4,10,1,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
16,4,10,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
12,4,10,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Taxi/Private hire car,Slight
7,2,10,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
7,2,10,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
10,3,1,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
10,4,1,2,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
8,4,11,2,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Slight
